"name"	"taxRank"	"taxID"	"Max"	"barcode01.cladeReads"	"barcode02.cladeReads"	"barcode03.cladeReads"	"barcode04.cladeReads"	"barcode05.cladeReads"	"lineage"
"Betaproteobacteria><wbr>...><wbr>Undibacterium parvum"	"S"	401471	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>Oxalobacteraceae>Undibacterium"
"Betaproteobacteria><wbr>...><wbr>Paucibacter sp. KCTC 42545"	"S"	1768242	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>Burkholderiales>unclassified&nbsp;Burkholderiales>Burkholderiales&nbsp;Genera&nbsp;incertae&nbsp;sedis>Paucibacter"
"Betaproteobacteria><wbr>...><wbr>Betaproteobacteria bacterium GR16-43"	"S"	1904640	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Proteobacteria>Betaproteobacteria>unclassified&nbsp;Betaproteobacteria>unclassified&nbsp;Betaproteobacteria&nbsp;(miscellaneous)"
"Bacillus cereus group><wbr>Bacillus mycoides"	"S"	1405	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus cereus group><wbr>Bacillus mobilis"	"S"	2026190	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;cereus&nbsp;group"
"Bacillus subtilis group><wbr>Bacillus subtilis"	"S"	1423	2	NA	NA	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group"
"Bacillus subtilis subsp. natto"	"-"	86029	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus>Bacillus&nbsp;subtilis&nbsp;group>Bacillus&nbsp;subtilis"
"Bacillus smithii"	"S"	1479	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Bacillus"
"Lysinibacillus varians"	"S"	1145276	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Lysinibacillus"
"Parageobacillus><wbr>Parageobacillus genomosp. 1"	"S"	1295642	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Bacillaceae>Parageobacillus"
"Planococcaceae><wbr>Ureibacillus><wbr>Ureibacillus thermosphaericus"	"S"	51173	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Bacillales>Planococcaceae>Ureibacillus"
"Bacilli><wbr>...><wbr>Streptococcus mitis"	"S"	28037	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Bacilli><wbr>...><wbr>Lactococcus lactis subsp. lactis bv. diacetylactis"	"-"	44688	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Streptococcaceae>Lactococcus>Lactococcus&nbsp;lactis>Lactococcus&nbsp;lactis&nbsp;subsp.&nbsp;lactis"
"Bacilli><wbr>...><wbr>Lactobacillus jensenii JV-V16"	"-"	525329	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>Lactobacillus&nbsp;jensenii"
"Bacilli><wbr>...><wbr>Lactobacillus heilongjiangensis"	"S"	1074467	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Bacilli><wbr>...><wbr>Lactobacillus acidipiscis"	"S"	89059	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Clostridium isatidis"	"S"	182773	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium bornimense"	"S"	1216932	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium"
"Clostridium novyi><wbr>Clostridium novyi NT"	"-"	386415	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiaceae>Clostridium>Clostridium&nbsp;novyi"
"Clostridiales incertae sedis><wbr>...><wbr>Eubacterium sulci ATCC 35585"	"-"	888727	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Clostridiales>Clostridiales&nbsp;incertae&nbsp;sedis>Clostridiales&nbsp;Family&nbsp;XIII.&nbsp;Incertae&nbsp;Sedis>[Eubacterium]&nbsp;sulci"
"Clostridia><wbr>...><wbr>Thermoanaerobacter italicus Ab9"	"-"	580331	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacter>Thermoanaerobacter&nbsp;italicus"
"Tissierellia><wbr>...><wbr>Ezakiella massiliensis"	"S"	1852374	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Firmicutes>Tissierellia>unclassified&nbsp;Tissierellia>Ezakiella"
"Streptomyces fulvissimus><wbr>Streptomyces fulvissimus DSM 40593"	"-"	1303692	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;fulvissimus"
"Streptomyces griseus group><wbr>...><wbr>Streptomyces griseus subsp. griseus NBRC 13350"	"-"	455632	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Streptomycetales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;griseus&nbsp;group>Streptomyces&nbsp;griseus&nbsp;subgroup>Streptomyces&nbsp;griseus>Streptomyces&nbsp;griseus&nbsp;subsp.&nbsp;griseus"
"Actinobacteria><wbr>...><wbr>Mycolicibacterium hassiacum DSM 44199"	"-"	1122247	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Corynebacteriales>Mycobacteriaceae>Mycolicibacterium>Mycolicibacterium&nbsp;hassiacum"
"Actinobacteria><wbr>...><wbr>Aeromicrobium sp. 592"	"S"	2079793	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Propionibacteriales>Nocardioidaceae>Aeromicrobium"
"Actinobacteria><wbr>...><wbr>Pseudonocardia sp. AL041005-10"	"S"	445576	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Pseudonocardiales>Pseudonocardiaceae>Pseudonocardia"
"Actinobacteria><wbr>...><wbr>Stackebrandtia nassauensis DSM 44728"	"-"	446470	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinobacteria>Actinobacteria>Glycomycetales>Glycomycetaceae>Stackebrandtia>Stackebrandtia&nbsp;nassauensis"
"Mycoplasma bovoculi><wbr>Mycoplasma bovoculi M165/69"	"-"	743966	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma>Mycoplasma&nbsp;bovoculi"
"Mycoplasma gallinaceum"	"S"	29556	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Mycoplasmatales>Mycoplasmataceae>Mycoplasma"
"Tenericutes><wbr>...><wbr>Mesoplasma florum"	"S"	2151	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Tenericutes>Mollicutes>Entomoplasmatales>Entomoplasmataceae>Mesoplasma"
"Oscillatoriophycideae><wbr>...><wbr>Geminocystis herdmanii PCC 6308"	"-"	113355	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Cyanobacteria/Melainabacteria&nbsp;group>Cyanobacteria>Oscillatoriophycideae>Chroococcales>Chroococcaceae>Geminocystis>Geminocystis&nbsp;herdmanii"
"Deinococcus-Thermus><wbr>...><wbr>Deinococcus actinosclerus"	"S"	1768108	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Deinococcus&#x2011;Thermus>Deinococci>Deinococcales>Deinococcaceae>Deinococcus"
"Chryseobacterium piperi"	"S"	558152	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Chryseobacterium"
"FCB group><wbr>...><wbr>Capnocytophaga sputigena"	"S"	1019	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Capnocytophaga"
"FCB group><wbr>...><wbr>Capnocytophaga stomatis"	"S"	1848904	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Capnocytophaga"
"FCB group><wbr>...><wbr>Psychroserpens sp. NJDZ02"	"S"	2570561	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Psychroserpens"
"FCB group><wbr>...><wbr>Euzebyella marina"	"S"	1761453	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Euzebyella"
"FCB group><wbr>...><wbr>Winogradskyella sp. PG-2"	"S"	754409	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Winogradskyella"
"FCB group><wbr>...><wbr>Lutibacter profundi"	"S"	1622118	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Lutibacter"
"FCB group><wbr>...><wbr>Bacteroides coprosuis DSM 18011"	"-"	679937	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Bacteroidales>Bacteroidaceae>Bacteroides>Bacteroides&nbsp;coprosuis"
"FCB group><wbr>...><wbr>Prevotella melaninogenica"	"S"	28132	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Bacteroidia>Bacteroidales>Prevotellaceae>Prevotella"
"FCB group><wbr>...><wbr>Fabibacter pacificus"	"S"	1267423	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Flammeovirgaceae>Fabibacter"
"FCB group><wbr>...><wbr>Candidatus Amoebophilus asiaticus 5a2"	"-"	452471	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Cytophagia>Cytophagales>Amoebophilaceae>Candidatus&nbsp;Amoebophilus>Candidatus&nbsp;Amoebophilus&nbsp;asiaticus"
"FCB group><wbr>...><wbr>Sphingobacterium psychroaquaticum"	"S"	561061	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Bacteroidetes>Sphingobacteriia>Sphingobacteriales>Sphingobacteriaceae>Sphingobacterium"
"FCB group><wbr>...><wbr>Chloroherpeton thalassium ATCC 35110"	"-"	517418	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidetes/Chlorobi&nbsp;group>Chlorobi>Chlorobia>Chlorobiales>Chlorobiaceae>Chloroherpeton>Chloroherpeton&nbsp;thalassium"
"FCB group><wbr>...><wbr>Fibrobacter succinogenes subsp. succinogenes S85"	"-"	59374	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Fibrobacteres>Fibrobacteria>Fibrobacterales>Fibrobacteraceae>Fibrobacter>Fibrobacter&nbsp;succinogenes>Fibrobacter&nbsp;succinogenes&nbsp;subsp.&nbsp;succinogenes"
"FCB group><wbr>...><wbr>Candidatus Cloacimonas acidaminovorans str. Evry"	"-"	459349	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Candidatus&nbsp;Cloacimonetes>Candidatus&nbsp;Cloacimonas>Candidatus&nbsp;Cloacimonas&nbsp;acidaminovorans"
"Spirochaetes><wbr>...><wbr>Treponema denticola AL-2"	"-"	999426	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Spirochaetales>Spirochaetaceae>Treponema>Treponema&nbsp;denticola"
"Spirochaetes><wbr>...><wbr>Leptospira tipperaryensis"	"S"	2564040	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Spirochaetes>Spirochaetia>Leptospirales>Leptospiraceae>Leptospira"
"Thermotogae><wbr>...><wbr>Thermosipho africanus TCF52B"	"-"	484019	1	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Thermotogae>Thermotogae>Thermotogales>Fervidobacteriaceae>Thermosipho>Thermosipho&nbsp;africanus"
"Viruses><wbr>...><wbr>Geobacillus phage TP-84"	"-"	1965361	1	NA	NA	NA	NA	1	"Viruses>Caudovirales>Siphoviridae>Saundersvirus>Geobacillus&nbsp;virus&nbsp;Tp84"
